node_id,node_name,node_type,tier,status,latitude,longitude,city,country,contact_name,contact_email,contact_whatsapp,industry,capacity_units,reliability_score,avg_lead_time_days,carbon_footprint_t,cost_per_unit_usd,last_heartbeat,disruption_flag,disruption_reason,route_to_node,transport_mode,route_distance_km,route_cost_usd,route_co2_t
N001,TechOEM Inc.,OEM,0,active,42.3314,-83.0458,Detroit,USA,Rajiv Mehta,rajiv@techoem.com,+12484567890,Electronics,50000,99.5,0,0,0,2026-04-24T12:00:00Z,false,,,,,,
N002,Mumbai Parts Co.,Tier-1 Supplier,1,active,19.0760,72.8777,Mumbai,India,Priya Sharma,priya@mumbaiparts.in,+919876543210,Electronics Components,12000,94.2,7,12.4,48.50,2026-04-24T11:55:00Z,false,,N001,sea,11200,2100,12.4
N003,Shenzhen Fab Ltd.,Tier-1 Supplier,1,disrupted,22.5431,114.0579,Shenzhen,China,Wei Zhang,wei@szhenfab.cn,+8613800138000,Electronics Components,18000,91.8,5,11.1,42.00,2026-04-24T00:10:00Z,true,Typhoon Mawar - Port closure,N001,sea,13400,1850,11.1
N004,Taiwan Alt. Fab,Tier-1 Supplier,1,pending,25.0330,121.5654,Taipei,Taiwan,Lin Chiou,lin@taiwanfab.tw,+886912345678,Electronics Components,15000,97.8,6,14.1,51.10,2026-04-24T09:30:00Z,false,,N001,air,2100,4200,14.1
N005,EU Distributor GmbH,Downstream Buyer,0,active,53.5511,9.9937,Hamburg,Germany,Klaus Weber,k.weber@eudist.de,+4940123456,Electronics Distribution,30000,98.1,3,8.2,0,2026-04-24T11:58:00Z,false,,N001,rail,9800,980,8.2
N006,SeaRoute Co.,Logistics,0,active,1.3521,103.8198,Singapore,Singapore,Aisha Tan,aisha@searoute.sg,+6591234567,Freight & Logistics,999999,96.3,2,5.5,120.00,2026-04-24T11:50:00Z,false,,N003,sea,0,0,0
N007,Tier-2 Vendor A,Tier-2 Supplier,2,static,23.1291,113.2644,Guangzhou,China,Unknown,unknown@vendor-a.cn,,Raw Materials,8000,88.5,12,9.8,18.20,2026-04-22T08:00:00Z,false,,N003,road,180,220,1.2
N008,New Regional Supplier,Tier-2 Supplier,2,pending,18.9667,72.8333,Navi Mumbai,India,Suresh Patel,suresh@newreg.in,+919012345678,Raw Materials,5000,0,0,0,0,,,false,,N002,road,35,80,0.4
N009,Frankfurt Hub,Logistics,0,active,50.0379,8.5622,Frankfurt,Germany,Hans Bauer,h.bauer@frahub.de,+496912345,Air Freight,999999,97.2,1,18.9,380.00,2026-04-24T11:45:00Z,false,,N005,road,490,650,3.1
N010,Chennai Port Node,Tier-2 Supplier,2,static,13.0827,80.2707,Chennai,India,Kavitha Nair,k.nair@chennaiport.in,+914412345678,Textile Components,6500,90.1,10,7.6,22.00,2026-04-23T14:00:00Z,false,,N002,road,1340,410,4.8
